date,county,type,num,id
4/15/20,"Inyo County, California",death,0,309
4/15/20,"Kern County, California",death,3,310
4/15/20,"Kings County, California",death,1,311
4/15/20,"Lake County, California",death,0,312
4/15/20,"Lassen County, California",death,0,313
4/15/20,"Los Angeles County, California",death,402,314
4/15/20,"Madera County, California",death,2,315
4/15/20,"Marin County, California",death,10,316
4/15/20,"Mariposa County, California",death,0,317
4/15/20,"Mendocino County, California",death,0,318
4/15/20,"Merced County, California",death,3,319
4/15/20,"Modoc County, California",death,0,320
4/15/20,"Mono County, California",death,1,321
4/15/20,"Monterey County, California",death,3,322
4/15/20,"Napa County, California",death,2,323
4/15/20,"Nevada County, California",death,1,324
4/15/20,"Orange County, California",death,22,325
4/15/20,"Placer County, California",death,7,326
4/15/20,"Plumas County, California",death,0,327
4/15/20,"Riverside County, California",death,59,328
4/15/20,"Sacramento County, California",death,32,329
4/15/20,"San Benito County, California",death,2,330
4/15/20,"San Bernardino County, California",death,37,331
4/15/20,"San Diego County, California",death,60,332
4/15/20,"San Francisco County, California",death,17,333
4/15/20,"San Joaquin County, California",death,17,334
4/15/20,"San Luis Obispo County, California",death,1,335
4/15/20,"San Mateo County, California",death,25,336
4/15/20,"Santa Barbara County, California",death,2,337
4/15/20,"Santa Clara County, California",death,66,338
4/15/20,"Santa Cruz County, California",death,1,339
4/15/20,"Shasta County, California",death,3,340
4/15/20,"Sierra County, California",death,0,341
4/15/20,"Siskiyou County, California",death,0,342
4/15/20,"Solano County, California",death,2,343
4/15/20,"Sonoma County, California",death,2,344
4/15/20,"Stanislaus County, California",death,4,345
4/15/20,"Sutter County, California",death,2,346
4/15/20,"Tehama County, California",death,1,347
4/15/20,"Trinity County, California",death,0,348
4/15/20,"Tulare County, California",death,15,349
4/15/20,"Tuolumne County, California",death,0,350
4/15/20,"Ventura County, California",death,13,351
4/15/20,"Yolo County, California",death,7,352
4/15/20,"Yuba County, California",death,1,353
4/15/20,Unknown,death,0,354
4/16/20,"Alameda County, California",positive,981,355
4/16/20,"Alpine County, California",positive,1,356
4/16/20,"Amador County, California",positive,7,357
4/16/20,"Butte County, California",positive,15,358
4/16/20,"Calaveras County, California",positive,10,359
4/16/20,"Colusa County, California",positive,3,360
4/16/20,"Contra Costa County, California",positive,675,361
4/16/20,"Del Norte County, California",positive,2,362
4/16/20,"El Dorado County, California",positive,35,363
4/16/20,"Fresno County, California",positive,289,364
4/16/20,"Glenn County, California",positive,4,365
4/16/20,"Humboldt County, California",positive,52,366
4/16/20,"Imperial County, California",positive,132,367
4/16/20,"Inyo County, California",positive,17,368
4/16/20,"Kern County, California",positive,587,369
4/16/20,"Kings County, California",positive,20,370
4/16/20,"Lake County, California",positive,6,371
